date,kind,time_et,source
2019-12-11,FOMC,14:00,Fed meeting calendar
2020-01-10,NFP,08:30,BLS rule (approximate)
2020-01-29,FOMC,14:00,Fed meeting calendar
2020-02-07,NFP,08:30,BLS rule (approximate)
2020-03-03,FOMC,14:00,Fed meeting calendar
2020-03-06,NFP,08:30,BLS rule (approximate)
2020-03-16,FOMC,14:00,Fed meeting calendar
2020-04-03,NFP,08:30,BLS rule (approximate)
2020-04-29,FOMC,14:00,Fed meeting calendar
2020-05-08,NFP,08:30,BLS rule (approximate)
2020-06-05,NFP,08:30,BLS rule (approximate)
2020-06-10,FOMC,14:00,Fed meeting calendar
2020-07-02,NFP,08:30,BLS rule (approximate)
2020-07-29,FOMC,14:00,Fed meeting calendar
2020-08-07,NFP,08:30,BLS rule (approximate)
2020-09-04,NFP,08:30,BLS rule (approximate)
2020-09-16,FOMC,14:00,Fed meeting calendar
2020-10-02,NFP,08:30,BLS rule (approximate)
2020-11-05,FOMC,14:00,Fed meeting calendar
2020-11-06,NFP,08:30,BLS rule (approximate)
2020-12-04,NFP,08:30,BLS rule (approximate)
2020-12-16,FOMC,14:00,Fed meeting calendar
2021-01-08,NFP,08:30,BLS rule (approximate)
2021-01-27,FOMC,14:00,Fed meeting calendar
2021-02-05,NFP,08:30,BLS rule (approximate)
2021-03-05,NFP,08:30,BLS rule (approximate)
2021-03-17,FOMC,14:00,Fed meeting calendar
2021-04-02,NFP,08:30,BLS rule (approximate)
2021-04-28,FOMC,14:00,Fed meeting calendar
2021-05-07,NFP,08:30,BLS rule (approximate)
2021-06-04,NFP,08:30,BLS rule (approximate)
2021-06-16,FOMC,14:00,Fed meeting calendar
2021-07-02,NFP,08:30,BLS rule (approximate)
2021-07-28,FOMC,14:00,Fed meeting calendar
2021-08-06,NFP,08:30,BLS rule (approximate)
2021-09-03,NFP,08:30,BLS rule (approximate)
2021-09-22,FOMC,14:00,Fed meeting calendar
2021-10-08,NFP,08:30,BLS rule (approximate)
2021-11-03,FOMC,14:00,Fed meeting calendar
2021-11-05,NFP,08:30,BLS rule (approximate)
2021-12-03,NFP,08:30,BLS rule (approximate)
2021-12-15,FOMC,14:00,Fed meeting calendar
2022-01-07,NFP,08:30,BLS rule (approximate)
2022-01-26,FOMC,14:00,Fed meeting calendar
2022-02-04,NFP,08:30,BLS rule (approximate)
2022-03-04,NFP,08:30,BLS rule (approximate)
2022-03-16,FOMC,14:00,Fed meeting calendar
2022-04-01,NFP,08:30,BLS rule (approximate)
2022-05-04,FOMC,14:00,Fed meeting calendar
2022-05-06,NFP,08:30,BLS rule (approximate)
2022-06-03,NFP,08:30,BLS rule (approximate)
2022-06-15,FOMC,14:00,Fed meeting calendar
2022-07-08,NFP,08:30,BLS rule (approximate)
2022-07-27,FOMC,14:00,Fed meeting calendar
2022-08-05,NFP,08:30,BLS rule (approximate)
2022-09-02,NFP,08:30,BLS rule (approximate)
2022-09-21,FOMC,14:00,Fed meeting calendar
2022-10-07,NFP,08:30,BLS rule (approximate)
2022-11-02,FOMC,14:00,Fed meeting calendar
2022-11-04,NFP,08:30,BLS rule (approximate)
2022-12-02,NFP,08:30,BLS rule (approximate)
2022-12-14,FOMC,14:00,Fed meeting calendar
2023-01-06,NFP,08:30,BLS rule (approximate)
2023-02-01,FOMC,14:00,Fed meeting calendar
2023-02-03,NFP,08:30,BLS rule (approximate)
2023-03-10,NFP,08:30,BLS rule (approximate)
2023-03-22,FOMC,14:00,Fed meeting calendar
2023-04-07,NFP,08:30,BLS rule (approximate)
2023-05-03,FOMC,14:00,Fed meeting calendar
2023-05-05,NFP,08:30,BLS rule (approximate)
2023-06-02,NFP,08:30,BLS rule (approximate)
2023-06-14,FOMC,14:00,Fed meeting calendar
2023-07-07,NFP,08:30,BLS rule (approximate)
2023-07-26,FOMC,14:00,Fed meeting calendar
2023-08-04,NFP,08:30,BLS rule (approximate)
2023-09-01,NFP,08:30,BLS rule (approximate)
2023-09-20,FOMC,14:00,Fed meeting calendar
2023-10-06,NFP,08:30,BLS rule (approximate)
2023-11-01,FOMC,14:00,Fed meeting calendar
2023-11-03,NFP,08:30,BLS rule (approximate)
2023-12-08,NFP,08:30,BLS rule (approximate)
2023-12-13,FOMC,14:00,Fed meeting calendar
2024-01-05,NFP,08:30,BLS rule (approximate)
2024-01-31,FOMC,14:00,Fed meeting calendar
2024-02-02,NFP,08:30,BLS rule (approximate)
2024-03-08,NFP,08:30,BLS rule (approximate)
2024-03-20,FOMC,14:00,Fed meeting calendar
2024-04-05,NFP,08:30,BLS rule (approximate)
2024-05-01,FOMC,14:00,Fed meeting calendar
2024-05-03,NFP,08:30,BLS rule (approximate)
2024-06-07,NFP,08:30,BLS rule (approximate)
2024-06-12,FOMC,14:00,Fed meeting calendar
2024-07-05,NFP,08:30,BLS rule (approximate)
2024-07-31,FOMC,14:00,Fed meeting calendar
2024-08-02,NFP,08:30,BLS rule (approximate)
2024-09-06,NFP,08:30,BLS rule (approximate)
2024-09-18,FOMC,14:00,Fed meeting calendar
2024-10-04,NFP,08:30,BLS rule (approximate)
2024-11-01,NFP,08:30,BLS rule (approximate)
2024-11-07,FOMC,14:00,Fed meeting calendar
2024-12-06,NFP,08:30,BLS rule (approximate)
2024-12-18,FOMC,14:00,Fed meeting calendar
2025-01-10,NFP,08:30,BLS rule (approximate)
2025-01-29,FOMC,14:00,Fed meeting calendar
2025-02-07,NFP,08:30,BLS rule (approximate)
2025-03-07,NFP,08:30,BLS rule (approximate)
2025-03-19,FOMC,14:00,Fed meeting calendar
2025-04-04,NFP,08:30,BLS rule (approximate)
2025-05-02,NFP,08:30,BLS rule (approximate)
2025-05-07,FOMC,14:00,Fed meeting calendar
2025-06-06,NFP,08:30,BLS rule (approximate)
2025-06-18,FOMC,14:00,Fed meeting calendar
2025-07-03,NFP,08:30,BLS rule (approximate)
2025-07-30,FOMC,14:00,Fed meeting calendar
2025-08-01,NFP,08:30,BLS rule (approximate)
2025-09-05,NFP,08:30,BLS rule (approximate)
2025-09-17,FOMC,14:00,Fed meeting calendar
2025-10-29,FOMC,14:00,Fed meeting calendar
2025-11-20,NFP,08:30,BLS (shutdown-adjusted)
2025-12-10,FOMC,14:00,Fed meeting calendar
2025-12-16,NFP,08:30,BLS (shutdown-adjusted)
2026-01-09,NFP,08:30,BLS rule (approximate)
2026-01-28,FOMC,14:00,Fed meeting calendar
2026-02-06,NFP,08:30,BLS rule (approximate)
2026-03-06,NFP,08:30,BLS rule (approximate)
2026-03-18,FOMC,14:00,Fed meeting calendar
2026-04-03,NFP,08:30,BLS rule (approximate)
2026-04-29,FOMC,14:00,Fed meeting calendar
2026-05-08,NFP,08:30,BLS rule (approximate)
2026-06-05,NFP,08:30,BLS rule (approximate)
2026-06-17,FOMC,14:00,Fed meeting calendar
2026-07-02,NFP,08:30,BLS rule (approximate)
2026-07-29,FOMC,14:00,Fed meeting calendar
2026-08-07,NFP,08:30,BLS rule (approximate)
2026-09-04,NFP,08:30,BLS rule (approximate)
2026-09-16,FOMC,14:00,Fed meeting calendar
2026-10-02,NFP,08:30,BLS rule (approximate)
2026-10-28,FOMC,14:00,Fed meeting calendar
2026-11-06,NFP,08:30,BLS rule (approximate)
2026-12-04,NFP,08:30,BLS rule (approximate)
2026-12-09,FOMC,14:00,Fed meeting calendar
